DATE,CBLTCUSD
2021-03-29,194.12
2021-03-30,195.58
2021-03-31,197.58
2021-04-01,202.91
2021-04-02,212.00
2021-04-03,193.00
2021-04-04,202.74
2021-04-05,221.82
2021-04-06,237.53
2021-04-07,219.55
2021-04-08,226.05
2021-04-09,221.06
2021-04-10,257.24
2021-04-11,252.80
2021-04-12,245.18
2021-04-13,268.01
2021-04-14,280.44
2021-04-15,287.49
2021-04-16,311.00
2021-04-17,303.98
2021-04-18,275.59
2021-04-19,264.02
2021-04-20,261.38
2021-04-21,259.85
2021-04-22,252.78
2021-04-23,241.43
2021-04-24,226.32
2021-04-25,224.22
2021-04-26,247.34
2021-04-27,261.17
2021-04-28,259.08
2021-04-29,255.52
2021-04-30,271.67
2021-05-01,277.46
2021-05-02,269.02
2021-05-03,296.83
2021-05-04,305.13
2021-05-05,356.65
2021-05-06,354.19
2021-05-07,345.74
2021-05-08,348.05
2021-05-09,389.97
2021-05-10,358.93
2021-05-11,377.79
2021-05-12,314.18
2021-05-13,316.25
2021-05-14,326.24
2021-05-15,301.66
2021-05-16,296.40
2021-05-17,282.85
2021-05-18,294.61
2021-05-19,190.02
2021-05-20,211.84
2021-05-21,180.39
2021-05-22,168.94
2021-05-23,143.48
2021-05-24,184.33
2021-05-25,184.76
2021-05-26,199.08
2021-05-27,192.86
2021-05-28,177.66
2021-05-29,164.11
2021-05-30,169.62
2021-05-31,187.33
2021-06-01,183.46
2021-06-02,186.70
2021-06-03,192.94
2021-06-04,178.88
2021-06-05,173.02
2021-06-06,176.90
2021-06-07,162.48
2021-06-08,160.88
2021-06-09,172.40
2021-06-10,168.56
2021-06-11,162.46
2021-06-12,162.16
2021-06-13,171.43
2021-06-14,179.99
2021-06-15,174.81
2021-06-16,166.52
2021-06-17,166.69
2021-06-18,156.26
2021-06-19,152.36
2021-06-20,155.35
2021-06-21,124.64
2021-06-22,119.30
2021-06-23,129.19
2021-06-24,134.93
2021-06-25,125.34
2021-06-26,126.65
2021-06-27,132.32
2021-06-28,138.24
2021-06-29,144.28
2021-06-30,144.10
2021-07-01,136.98
2021-07-02,137.01
2021-07-03,140.01
2021-07-04,144.64
2021-07-05,137.61
2021-07-06,138.79
2021-07-07,137.24
2021-07-08,132.29
2021-07-09,134.55
2021-07-10,134.26
2021-07-11,134.15
2021-07-12,133.18
2021-07-13,131.53
2021-07-14,131.17
2021-07-15,125.97
2021-07-16,120.73
2021-07-17,119.89
2021-07-18,119.00
2021-07-19,113.19
2021-07-20,107.35
2021-07-21,117.59
2021-07-22,120.88
2021-07-23,124.44
2021-07-24,126.22
2021-07-25,127.58
2021-07-26,130.92
2021-07-27,134.61
2021-07-28,140.33
2021-07-29,141.74
2021-07-30,145.59
2021-07-31,144.42
2021-08-01,140.07
2021-08-02,141.33
2021-08-03,138.67
2021-08-04,142.68
2021-08-05,143.75
2021-08-06,147.88
2021-08-07,155.84
2021-08-08,150.06
2021-08-09,165.98
2021-08-10,165.61
2021-08-11,170.33
2021-08-12,165.77
2021-08-13,183.15
2021-08-14,183.32
2021-08-15,185.02
2021-08-16,178.24
2021-08-17,168.83
2021-08-18,166.91
2021-08-19,175.49
2021-08-20,183.84
2021-08-21,180.02
2021-08-22,186.32
2021-08-23,186.90
2021-08-24,173.79
2021-08-25,177.66
2021-08-26,167.58
2021-08-27,176.27
2021-08-28,175.89
2021-08-29,174.43
2021-08-30,167.16
2021-08-31,171.15
2021-09-01,180.98
2021-09-02,183.36
2021-09-03,212.86
2021-09-04,212.20
2021-09-05,231.99
2021-09-06,219.72
2021-09-07,178.48
2021-09-08,179.64
2021-09-09,180.49
2021-09-10,174.13
2021-09-11,178.40
2021-09-12,183.10
2021-09-13,179.13
2021-09-14,183.01
2021-09-15,188.98
2021-09-16,185.70
2021-09-17,180.03
2021-09-18,181.43
2021-09-19,175.76
2021-09-20,156.82
2021-09-21,148.33
2021-09-22,161.19
2021-09-23,164.05
2021-09-24,152.30
2021-09-25,151.04
2021-09-26,150.55
2021-09-27,145.34
2021-09-28,140.33
2021-09-29,144.57
2021-09-30,153.19
2021-10-01,166.30
2021-10-02,169.22
2021-10-03,170.47
2021-10-04,167.73
2021-10-05,173.85
2021-10-06,178.66
2021-10-07,178.85
2021-10-08,175.87
2021-10-09,179.76
2021-10-10,174.80
2021-10-11,178.93
2021-10-12,172.52
2021-10-13,177.91
2021-10-14,180.97
2021-10-15,189.50
2021-10-16,186.08
2021-10-17,183.80
2021-10-18,185.68
2021-10-19,188.61
